"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 13:50:01 CST 2024","Tue Mar 26 13:50:01 CST 2024","0","","test_pytest13","","","","test_baohan",""
"passed","Tue Mar 26 13:50:00 CST 2024","Tue Mar 26 13:50:00 CST 2024","1","","test_pytest13","","","","test_dengyu",""
"passed","Tue Mar 26 13:50:01 CST 2024","Tue Mar 26 13:50:01 CST 2024","0","","test_pytest13","","","","test_dayu",""
"failed","Tue Mar 26 13:50:00 CST 2024","Tue Mar 26 13:50:00 CST 2024","0","","test_pytest13","","","","test_budengyu",""
"passed","Tue Mar 26 13:50:01 CST 2024","Tue Mar 26 13:50:01 CST 2024","0","","test_pytest13","","","","test_ifture",""
"passed","Tue Mar 26 13:50:01 CST 2024","Tue Mar 26 13:50:01 CST 2024","0","","test_pytest13","","","","test_dayudengyu",""
"passed","Tue Mar 26 13:50:01 CST 2024","Tue Mar 26 13:50:01 CST 2024","1","","test_pytest13","","","","test_xiaoyudengyu",""
"passed","Tue Mar 26 13:50:01 CST 2024","Tue Mar 26 13:50:01 CST 2024","0","","test_pytest13","","","","test_xiaoyu",""
"passed","Tue Mar 26 13:50:01 CST 2024","Tue Mar 26 13:50:01 CST 2024","1","","test_pytest13","","","","test_iffalse",""
"failed","Tue Mar 26 13:50:01 CST 2024","Tue Mar 26 13:50:01 CST 2024","0","","test_pytest13","","","","test_bubaohan",""
